form,tags
abalourdissons,"['first-person', 'imperative', 'plural']"
abalourdissons,"['first-person', 'indicative', 'plural', 'present']"
abalourdit,"['indicative', 'present', 'singular', 'third-person']"
abalourdit,"['historic', 'indicative', 'past', 'singular', 'third-person']"
abalourdîmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
abalourdît,"['imperfect', 'singular', 'subjunctive', 'third-person']"
abalourdîtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
abalâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
abalât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
abalâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
abalèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
abalé,"['participle', 'past']"
abalée,"['feminine', 'singular']"
abalées,"['feminine', 'plural']"
abalés,"['masculine', 'plural']"
abandonna,"['historic', 'indicative', 'past', 'singular', 'third-person']"
abandonnai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
abandonnaient,"['imperfect', 'indicative', 'plural', 'third-person']"
abandonnais,"['first-person', 'imperfect', 'indicative', 'singular']"
abandonnais,"['imperfect', 'indicative', 'second-person', 'singular']"
abandonnait,"['imperfect', 'indicative', 'singular', 'third-person']"
abandonnant,"['gerund', 'participle', 'present']"
abandonnas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
abandonnasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
abandonnassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
abandonnasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
abandonnassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
abandonnassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
abandonne,"['imperative', 'second-person', 'singular']"
abandonne,"['present', 'singular', 'subjunctive', 'third-person']"
abandonne,"['indicative', 'present', 'singular', 'third-person']"
